job_name,submit_time,duration,region,k,L_max,submit_local_hour,band,alpha,assigned_region
j_001750,8329.6,23.1,Korea,4,23.4,11.31,day,0.6,Korea
j_002113,8334.8,5.4,India,5,2.1,7.82,night,0.6,France
j_001069,8912.8,4603.7,France,1,47246.1,3.48,night,0.6,France
j_001406,9347.5,21600.0,Germany,1,78182.2,3.6,night,0.6,France
j_002482,9956.2,5294.0,Japan,2,18578.3,11.77,day,0.6,Japan
j_002486,10171.5,507.6,Japan,3,205.7,11.83,day,0.6,Japan
j_000720,10754.5,9649.6,US_East,1,50011.2,21.99,night,0.6,US_East
j_000731,11259.9,1419.9,US_East,2,22431.4,22.13,night,0.6,France
j_002497,11444.1,8.7,Japan,4,28.5,12.18,day,0.6,Japan
j_002479,12205.9,6089.4,Japan,1,72516.9,12.39,day,0.6,Japan
j_001751,12660.8,3.8,Korea,5,1.7,12.52,day,0.6,Korea
j_001790,12671.1,116.0,Korea,3,571.8,12.52,day,0.6,Korea
j_001097,12962.0,14.6,France,4,33.0,4.6,night,0.6,France
j_001779,13130.0,2.5,Korea,5,2.7,12.65,day,0.6,Korea
j_001789,13628.0,14.7,Korea,4,20.4,12.79,day,0.6,Korea
j_001090,13951.9,1426.1,France,2,7871.8,4.88,night,0.6,France
j_002477,14262.9,5.4,Japan,5,1.7,12.96,day,0.6,Japan
j_002467,14381.2,3.0,Japan,5,1.6,12.99,day,0.6,Japan
j_001761,14487.5,2.0,Korea,5,4.8,13.02,day,0.6,Korea
j_001753,14499.5,10.3,Korea,5,1.9,13.03,day,0.6,Korea
j_002471,14659.8,157.7,Japan,3,541.8,13.07,day,0.6,Japan
j_001056,14989.0,7234.0,France,1,69298.3,5.16,night,0.6,France
j_001764,14996.6,70.2,Korea,4,53.2,13.17,day,0.6,Korea
j_002478,15055.3,6.2,Japan,5,2.8,13.18,day,0.6,Japan
j_002487,15378.1,952.4,Japan,1,68570.0,13.27,day,0.6,Japan
j_002463,15787.4,3.5,Japan,5,2.3,13.39,day,0.6,Japan
j_001780,15840.2,22.5,Korea,4,59.4,13.4,day,0.6,Korea
j_000705,16240.1,44.0,US_East,4,23.6,23.51,night,0.6,US_East
j_001086,16297.4,1104.8,France,1,77407.0,5.53,night,0.6,France
j_001778,16605.0,49.0,Korea,4,24.7,13.61,day,0.6,Korea
j_000701,16852.6,31.9,US_East,4,18.2,23.68,night,0.6,US_East
j_002140,17027.9,12.6,India,5,1.3,10.23,day,0.6,France
j_000375,17086.2,6417.6,US_Central,2,21909.8,22.75,night,0.6,France
j_002484,17117.4,370.2,Japan,3,383.7,13.75,day,0.6,Japan
j_000364,17165.3,41.9,US_Central,4,30.0,22.77,night,0.6,US_West
j_001788,17226.9,2.2,Korea,5,2.3,13.79,day,0.6,Korea
j_001427,17712.0,8.4,Germany,5,1.0,5.92,night,0.6,France
j_002489,17716.2,124.3,Japan,3,506.6,13.92,day,0.6,Korea
j_001055,17779.3,62.8,France,4,18.3,5.94,night,0.6,France
j_000012,17825.0,1331.6,US_West,2,17356.9,20.95,night,0.6,US_West
j_000713,18190.2,7634.8,US_East,2,27441.4,0.05,night,0.6,US_East
j_000740,18360.9,8951.2,US_East,1,66884.8,0.1,night,0.6,US_East
j_000706,18443.3,14218.6,US_East,1,78925.3,0.12,night,0.6,US_East
j_001757,18582.6,23.9,Korea,4,56.9,14.16,day,0.6,Korea
j_001777,18936.0,4.2,Korea,5,4.2,14.26,day,0.6,Korea
j_001766,19095.7,5.4,Korea,5,3.2,14.3,day,0.6,Korea
j_001785,19379.4,23.0,Korea,4,38.3,14.38,day,0.6,Korea
j_000393,19517.3,8.7,US_Central,4,48.4,23.42,night,0.6,US_West
j_002124,19615.3,5.8,India,5,3.7,10.95,day,0.6,France
j_002490,19794.4,4.1,Japan,5,1.2,14.5,day,0.6,Korea
j_001424,19977.0,40.0,Germany,4,44.6,6.55,night,0.6,France
j_000381,20341.7,1940.9,US_Central,1,51216.1,23.65,night,0.6,US_West
j_000019,20371.2,547.4,US_West,2,27318.2,21.66,night,0.6,US_West
j_001754,20586.5,21.5,Korea,4,49.9,14.72,day,0.6,Korea
j_001447,20755.1,45.8,Germany,4,19.4,6.77,night,0.6,Germany
j_002133,20990.7,87.8,India,4,24.2,11.33,day,0.6,France
j_002128,21022.8,5.6,India,5,2.6,11.34,day,0.6,France
j_002121,21085.7,10.9,India,4,51.2,11.36,day,0.6,France
j_002483,21403.0,7.0,Japan,5,3.6,14.95,day,0.6,Korea
j_002485,21629.5,10733.3,Japan,1,64748.8,15.01,day,0.6,Korea
j_001429,21673.2,37.8,Germany,4,20.9,7.02,night,0.6,France
j_000355,21995.1,695.1,US_Central,2,13376.9,0.11,night,0.6,US_West
j_000386,22146.7,4529.4,US_Central,2,8908.3,0.15,night,0.6,US_West
j_001791,22176.5,12.6,Korea,4,41.3,15.16,day,0.6,Korea
j_001408,22250.1,105.9,Germany,3,381.1,7.18,night,0.6,France
j_002131,22965.9,5.4,India,5,3.0,11.88,day,0.6,France
j_001773,23213.3,4.5,Korea,5,1.6,15.45,day,0.6,Korea
j_002469,23283.4,38.4,Japan,4,27.3,15.47,day,0.6,Korea
j_002111,23470.0,2.3,India,5,5.0,12.02,day,0.6,France
j_000399,23522.6,25.1,US_Central,4,34.2,0.53,night,0.6,US_West
j_000390,23538.3,2.5,US_Central,5,1.5,0.54,night,0.6,US_West
j_002494,23566.1,4.4,Japan,5,1.6,15.55,day,0.6,Korea
j_001782,23898.7,607.6,Korea,1,44208.2,15.64,day,0.6,Korea
j_000032,24345.2,2.8,US_West,5,2.4,22.76,night,0.6,US_West
j_001774,24507.4,4260.4,Korea,1,70721.1,15.81,day,0.6,Korea
j_001421,24818.1,12150.5,Germany,1,55978.9,7.89,night,0.6,France
j_002142,25353.3,13.0,India,4,49.2,12.54,day,0.6,France
j_000736,25360.8,7757.0,US_East,1,49633.1,2.04,night,0.6,US_East
j_001085,25716.3,92.8,France,3,188.8,8.14,day,0.6,France
j_000725,25957.5,11155.0,US_East,1,65491.4,2.21,night,0.6,US_East
j_002465,26194.3,15.7,Japan,4,37.8,16.28,day,0.6,Japan
j_000394,26484.0,68.8,US_Central,3,342.0,1.36,night,0.6,US_West
j_000376,26542.5,9945.0,US_Central,1,63226.3,1.37,night,0.6,France
j_000715,26685.1,4.4,US_East,5,1.0,2.41,night,0.6,US_East
j_000046,26785.0,4169.3,US_West,1,59728.2,23.44,night,0.6,US_West
j_002102,27008.4,407.2,India,3,239.0,13.0,day,0.6,France
j_002473,28146.5,2.9,Japan,5,1.4,16.82,day,0.6,Japan
j_001418,28149.0,4836.2,Germany,2,19416.1,8.82,day,0.6,France
j_000395,28336.3,4.2,US_Central,5,1.3,1.87,night,0.6,France
j_000363,28371.2,8041.4,US_Central,1,67392.7,1.88,night,0.6,US_West
j_002474,28590.0,110.0,Japan,4,38.5,16.94,day,0.6,Japan
j_001087,28907.0,180.7,France,3,193.8,9.03,day,0.6,France
j_001431,28909.6,4566.1,Germany,1,47362.9,9.03,day,0.6,Germany
j_000011,29100.1,4215.5,US_West,1,46769.3,0.08,night,0.6,US_West
j_001762,29606.7,38.8,Korea,4,15.1,17.22,day,0.6,Korea
j_001756,29735.5,80.1,Korea,4,25.4,17.26,day,0.6,Korea
j_002127,29976.2,338.7,India,3,191.7,13.83,day,0.6,France
j_001787,30195.2,8.1,Korea,4,20.0,17.39,day,0.6,Korea
j_000746,30280.9,3284.3,US_East,2,10519.4,3.41,night,0.6,US_East
j_000357,30778.5,5.2,US_Central,5,2.1,2.55,night,0.6,US_West
j_000396,31374.6,1662.0,US_Central,2,13270.5,2.72,night,0.6,US_West
j_001093,31465.4,9.2,France,5,2.9,9.74,day,0.6,France
j_002114,31573.9,31.0,India,4,55.3,14.27,day,0.6,Germany
j_000043,31575.4,4.1,US_West,5,2.2,0.77,night,0.6,US_West
j_001099,31718.0,160.9,France,3,523.5,9.81,day,0.6,France
j_000020,31915.8,17386.7,US_West,1,74115.9,0.87,night,0.6,US_West
j_000352,32189.2,3468.9,US_Central,1,50198.8,2.94,night,0.6,US_West
j_001063,32456.1,56.7,France,4,21.7,10.02,day,0.6,France
j_000712,32476.8,38.4,US_East,4,51.2,4.02,night,0.6,US_East
j_002132,32644.7,158.8,India,3,128.4,14.57,day,0.6,France
j_000716,32951.4,5980.1,US_East,1,55062.7,4.15,night,0.6,US_East
j_001426,33347.0,235.6,Germany,3,377.3,10.26,day,0.6,Germany
j_001058,33362.5,471.9,France,2,21203.1,10.27,day,0.6,France
j_002496,33778.6,3.3,Japan,5,4.8,18.38,day,0.6,Korea
j_000021,33781.3,2296.5,US_West,1,80759.6,1.38,night,0.6,US_West
j_002459,33829.2,1.7,Japan,5,2.8,18.4,day,0.6,Korea
j_001795,34077.6,569.9,Korea,2,23716.3,18.47,day,0.6,Korea
j_000040,34234.8,7317.1,US_West,1,50654.4,1.51,night,0.6,US_West
j_000017,34353.1,3.8,US_West,5,2.2,1.54,night,0.6,US_West
j_002117,34824.9,5.6,India,5,2.1,15.17,day,0.6,Germany
j_001436,34874.9,117.0,Germany,3,147.1,10.69,day,0.6,Germany
j_000027,35235.5,6.0,US_West,5,1.1,1.79,night,0.6,US_East
j_001054,35248.3,4.5,France,5,4.6,10.79,day,0.6,France
j_000700,35727.3,17556.7,US_East,1,78449.5,4.92,night,0.6,US_East
j_002147,35978.5,23.1,India,4,15.5,15.49,day,0.6,Germany
j_001083,35979.3,243.8,France,3,203.2,10.99,day,0.6,France
j_001783,36001.5,1851.2,Korea,1,74579.9,19.0,day,0.6,Korea
j_001061,36511.4,45.4,France,4,38.6,11.14,day,0.6,France
j_000378,36682.2,21600.0,US_Central,1,55431.2,4.19,night,0.6,US_East
j_001448,37016.3,3.6,Germany,5,4.4,11.28,day,0.6,Germany
j_002106,37329.0,4.9,India,5,3.9,15.87,day,0.6,France
j_001089,37421.7,377.9,France,3,573.2,11.39,day,0.6,France
j_001400,37764.1,18740.1,Germany,1,53820.6,11.49,day,0.6,Germany
j_000368,38093.7,21600.0,US_Central,1,85509.1,4.58,night,0.6,US_West
j_001062,38114.6,3.8,France,5,3.2,11.59,day,0.6,France
j_000009,38361.8,11830.5,US_West,1,47594.1,2.66,night,0.6,US_West
j_001437,38628.1,23.5,Germany,4,35.3,11.73,day,0.6,Germany
j_001413,38868.7,22.8,Germany,4,21.8,11.8,day,0.6,Germany
j_000031,39031.4,8836.8,US_West,2,20898.0,2.84,night,0.6,US_West
j_001411,39244.0,4478.8,Germany,1,58459.9,11.9,day,0.6,Germany
j_002123,39444.2,11.8,India,5,3.3,16.46,day,0.6,France
j_000026,39501.8,2.2,US_West,5,2.6,2.97,night,0.6,US_West
j_002148,39687.9,21600.0,India,1,68118.6,16.52,day,0.6,Germany
j_001082,39780.5,4.3,France,5,3.5,12.05,day,0.6,France
j_001068,39839.0,77.2,France,4,17.0,12.07,day,0.6,France
j_000387,39890.6,958.0,US_Central,1,59939.2,5.08,night,0.6,France
j_002466,40089.9,5.3,Japan,5,1.3,20.14,night,0.6,Japan
j_001409,40204.6,5.1,Germany,5,2.4,12.17,day,0.6,Germany
j_000037,40630.6,7170.4,US_West,2,10359.8,3.29,night,0.6,US_West
j_000734,40638.9,6803.4,US_East,1,58654.7,6.29,night,0.6,US_East
j_001439,40921.6,3.8,Germany,5,3.2,12.37,day,0.6,Germany
j_000016,40933.2,992.1,US_West,2,7430.3,3.37,night,0.6,US_West
j_001422,40949.7,1843.9,Germany,2,14046.3,12.37,day,0.6,Germany
j_001091,41273.8,29.2,France,4,22.8,12.46,day,0.6,France
j_002139,41469.1,23.9,India,4,15.7,17.02,day,0.6,Germany
j_000360,41899.1,14653.1,US_Central,1,59036.5,5.64,night,0.6,France
j_001430,42152.4,7600.1,Germany,1,66033.1,12.71,day,0.6,Germany
j_000002,42215.0,66.0,US_West,4,27.7,3.73,night,0.6,US_West
j_001094,42377.1,6.1,France,5,1.0,12.77,day,0.6,France
j_001081,42491.2,19.4,France,4,30.3,12.8,day,0.6,France
j_001078,42578.2,22.2,France,4,50.8,12.83,day,0.6,France
j_000704,43134.0,13.0,US_East,4,25.8,6.98,night,0.6,US_East
j_001443,43430.1,334.3,Germany,3,198.9,13.06,day,0.6,France
j_000743,43904.7,3.3,US_East,5,2.3,7.2,night,0.6,France
j_001417,44047.5,3.9,Germany,5,2.9,13.24,day,0.6,France
j_000000,44104.9,12590.1,US_West,1,46114.1,4.25,night,0.6,US_West
j_001092,44268.3,60.7,France,4,24.8,13.3,day,0.6,France
j_000008,44651.5,43.9,US_West,4,47.6,4.4,night,0.6,US_West
j_001772,44710.3,10.0,Korea,5,3.1,21.42,night,0.6,Korea
j_001793,44711.7,1495.6,Korea,1,58348.5,21.42,night,0.6,Korea
j_001433,45209.7,2.0,Germany,5,1.3,13.56,day,0.6,France
j_000042,45305.6,2.3,US_West,5,1.2,4.58,night,0.6,US_West
j_001073,46480.4,13.8,France,5,3.0,13.91,day,0.6,France
j_000739,46514.0,2104.1,US_East,1,44985.1,7.92,night,0.6,France
j_001769,47398.6,33.5,Korea,4,24.9,22.17,night,0.6,Korea
j_002143,47663.7,1454.1,India,1,61990.1,18.74,day,0.6,France
j_002137,47706.2,1297.8,India,2,17262.3,18.75,day,0.6,France
j_000737,47714.9,5.0,US_East,5,2.1,8.25,day,0.6,France
j_001438,47746.9,11.4,Germany,4,23.6,14.26,day,0.6,Germany
j_002454,48058.5,17783.2,Japan,1,50072.5,22.35,night,0.6,Japan
j_001414,48472.6,94.4,Germany,3,148.1,14.46,day,0.6,Germany
j_001059,48569.1,6.9,France,5,2.5,14.49,day,0.6,France
j_000047,49023.2,2801.7,US_West,1,75049.8,5.62,night,0.6,US_West
j_000004,49203.4,4698.9,US_West,1,74097.0,5.67,night,0.6,US_West
j_000033,49316.5,15.9,US_West,4,56.2,5.7,night,0.6,France
j_001799,49440.7,15.0,Korea,4,16.1,22.73,night,0.6,Korea
j_001402,49909.5,3.2,Germany,5,1.2,14.86,day,0.6,Germany
j_002456,50163.9,2801.3,Japan,2,13865.9,22.93,night,0.6,Japan
j_000711,50374.2,8.8,US_East,5,1.6,8.99,day,0.6,France
j_000361,50490.0,5.0,US_Central,5,2.0,8.02,day,0.6,US_West
j_002461,50515.0,6005.2,Japan,1,64439.8,23.03,night,0.6,Japan
j_002149,50658.0,4255.4,India,2,16937.6,19.57,day,0.6,France
j_000384,50920.6,6165.6,US_Central,1,84633.7,8.14,day,0.6,US_West
j_001405,51158.5,4164.7,Germany,1,71887.2,15.21,day,0.6,Germany
j_002476,51635.1,109.4,Japan,4,18.7,23.34,night,0.6,Japan
j_000382,51649.0,6.6,US_Central,5,1.3,8.35,day,0.6,France
j_001768,51738.3,71.6,Korea,3,126.3,23.37,night,0.6,Korea
j_000362,51788.8,4022.2,US_Central,1,48075.9,8.39,day,0.6,US_West
j_002499,52186.2,196.8,Japan,3,439.7,23.5,night,0.6,Japan
j_001428,52248.8,174.0,Germany,3,521.5,15.51,day,0.6,Germany
j_002457,52291.8,11140.7,Japan,1,64774.2,23.53,night,0.6,Japan
j_000744,52324.5,2420.6,US_East,1,70088.4,9.53,day,0.6,US_East
j_001074,52837.6,6.0,France,5,3.7,15.68,day,0.6,France
j_002110,52959.0,273.1,India,3,158.6,20.21,night,0.6,France
j_000359,53503.9,1961.4,US_Central,2,14037.2,8.86,day,0.6,France
j_000038,53830.0,21600.0,US_West,1,48042.6,6.95,night,0.6,US_West
j_001077,53907.5,3.0,France,5,1.0,15.97,day,0.6,France
j_001051,53978.9,13411.4,France,1,81355.9,15.99,day,0.6,France
j_001434,54880.8,506.3,Germany,2,25346.2,16.24,day,0.6,France
j_001415,55118.3,10772.6,Germany,1,43369.2,16.31,day,0.6,Germany
j_002495,55498.7,3657.0,Japan,1,49001.1,0.42,night,0.6,US_West
j_000747,55504.6,7.9,US_East,5,1.0,10.42,day,0.6,US_East
j_001765,56455.8,430.9,Korea,3,131.4,0.68,night,0.6,Korea
j_002458,56536.2,1943.7,Japan,2,9705.9,0.7,night,0.6,US_West
j_002129,56582.3,53.1,India,4,42.1,21.22,night,0.6,France
j_000714,56779.1,69.8,US_East,3,450.6,10.77,day,0.6,US_East
j_002464,56876.2,2331.0,Japan,1,49714.0,0.8,night,0.6,Japan
j_000380,56913.6,34.5,US_Central,4,46.1,9.81,day,0.6,US_West
j_002498,56938.8,5855.4,Japan,1,53229.0,0.82,night,0.6,Japan
j_000708,56944.4,185.9,US_East,3,151.1,10.82,day,0.6,US_East
j_002480,56948.2,6122.2,Japan,1,72043.1,0.82,night,0.6,Japan
j_001098,56965.6,7.3,France,5,3.6,16.82,day,0.6,France
j_001070,57114.4,949.3,France,1,52110.4,16.87,day,0.6,France
j_000732,57553.4,21600.0,US_East,1,73002.7,10.99,day,0.6,US_East
j_001752,57624.9,15937.5,Korea,1,58722.7,1.01,night,0.6,Korea
j_001096,57692.4,5778.5,France,2,12270.5,17.03,day,0.6,France
j_001797,57736.2,8.5,Korea,5,1.0,1.04,night,0.6,Korea
j_002125,58532.3,80.9,India,3,161.2,21.76,night,0.6,France
j_000722,58892.3,4.9,US_East,5,1.7,11.36,day,0.6,France
j_000383,59098.2,9291.0,US_Central,1,43738.2,10.42,day,0.6,US_West
j_002460,59349.5,2550.9,Japan,1,50249.0,1.49,night,0.6,US_West
j_001432,59648.2,8949.1,Germany,1,64321.6,17.57,day,0.6,France
j_000049,59755.9,133.2,US_West,4,20.8,8.6,day,0.6,US_West
j_001445,59875.8,11.5,Germany,5,2.2,17.63,day,0.6,France
j_001776,60244.9,1747.9,Korea,1,43901.0,1.73,night,0.6,Korea
j_000392,60276.7,2.9,US_Central,5,1.1,10.74,day,0.6,US_West
j_000723,60732.8,1322.3,US_East,3,158.0,11.87,day,0.6,France
j_002453,61132.3,2294.9,Japan,1,77492.7,1.98,night,0.6,Japan
j_001763,61174.7,10604.0,Korea,2,15592.4,1.99,night,0.6,Korea
j_001798,61185.1,1165.7,Korea,2,8813.0,2.0,night,0.6,Korea
j_002135,61463.9,7.1,India,5,3.1,22.57,night,0.6,Germany
j_002462,61488.7,3.6,Japan,5,3.0,2.08,night,0.6,Japan
j_000391,61541.0,596.1,US_Central,2,28297.9,11.09,day,0.6,US_East
j_000702,61754.2,35.5,US_East,4,46.8,12.15,day,0.6,US_East
j_000035,61798.3,5.5,US_West,5,3.3,9.17,day,0.6,Germany
j_000014,61822.6,2.5,US_West,5,1.1,9.17,day,0.6,US_West
j_000369,62026.4,1975.5,US_Central,1,63129.5,11.23,day,0.6,US_Central
j_000388,62102.4,79.8,US_Central,3,217.3,11.25,day,0.6,US_East
j_000745,62293.0,4.5,US_East,5,2.5,12.3,day,0.6,US_East
j_002488,62308.2,2.2,Japan,5,2.5,2.31,night,0.6,Japan
j_000377,62332.5,3.5,US_Central,5,2.6,11.31,day,0.6,France
j_001444,62539.8,160.7,Germany,3,147.9,18.37,day,0.6,Germany
j_002134,62781.6,4024.7,India,1,67100.9,22.94,night,0.6,Germany
j_001080,62798.5,5.0,France,5,4.7,18.44,day,0.6,France
j_000353,63144.8,1081.9,US_Central,2,10760.4,11.54,day,0.6,US_East
j_000366,63409.0,7.4,US_Central,5,4.9,11.61,day,0.6,US_East
j_000039,63643.9,2.9,US_West,5,3.5,9.68,day,0.6,Germany
j_000030,63658.8,2126.1,US_West,1,46576.7,9.68,day,0.6,US_West
j_000045,63888.6,193.5,US_West,3,235.6,9.75,day,0.6,US_West
j_001079,63975.2,4.1,France,5,2.9,18.77,day,0.6,France
j_000389,64041.2,3.0,US_Central,5,3.3,11.79,day,0.6,France
j_000048,64125.9,3.6,US_West,5,1.8,9.81,day,0.6,US_West
j_000726,64379.8,7.4,US_East,5,1.6,12.88,day,0.6,US_East
j_000024,64546.2,207.8,US_West,3,128.3,9.93,day,0.6,US_West
j_002101,64850.3,5.4,India,5,4.6,23.51,night,0.6,France
j_001419,64997.3,3.9,Germany,5,1.2,19.05,day,0.6,Germany
j_000397,65087.7,32.3,US_Central,4,35.2,12.08,day,0.6,US_West
j_000003,65244.1,8.5,US_West,5,2.8,10.12,day,0.6,US_West
j_002105,65252.4,10757.1,India,1,73995.1,23.63,night,0.6,France
j_001067,65282.6,15780.8,France,1,55340.7,19.13,day,0.6,France
j_001053,65284.1,109.1,France,3,338.6,19.13,day,0.6,France
j_000748,65299.0,7.6,US_East,5,3.6,13.14,day,0.6,US_East
j_000707,65735.3,8070.5,US_East,1,47274.3,13.26,day,0.6,US_East
j_002144,65786.7,2178.8,India,1,51086.8,23.77,night,0.6,France
j_000350,66352.8,16.9,US_Central,4,21.5,12.43,day,0.6,US_West
j_000007,66526.3,3.0,US_West,5,2.9,10.48,day,0.6,US_West
j_000374,66578.6,9.4,US_Central,5,1.3,12.49,day,0.6,US_West
j_002100,66934.8,663.1,India,2,8300.4,0.09,night,0.6,France
j_002452,66950.7,2662.8,Japan,1,47370.6,3.6,night,0.6,Korea
j_001796,67357.9,8761.9,Korea,1,67767.7,3.71,night,0.6,Korea
j_002455,67609.3,4178.8,Japan,1,65336.6,3.78,night,0.6,Korea
j_002118,67901.1,8426.6,India,1,49120.3,0.36,night,0.6,Germany
j_000721,68137.2,16.9,US_East,5,2.7,13.93,day,0.6,US_East
j_002491,68182.5,6180.2,Japan,1,59927.6,3.94,night,0.6,Korea
j_000728,68345.4,3.4,US_East,5,3.3,13.98,day,0.6,US_East
j_002115,68410.5,4031.1,India,1,61796.5,0.5,night,0.6,France
j_000371,68518.6,55.5,US_Central,4,48.8,13.03,day,0.6,France
j_000735,68557.7,4.3,US_East,5,1.2,14.04,day,0.6,US_East
j_001066,68663.1,46.3,France,4,36.7,20.07,night,0.6,France
j_000372,68753.1,13.7,US_Central,4,15.4,13.1,day,0.6,US_West
j_002451,69451.1,2.6,Japan,5,2.3,4.29,night,0.6,Japan
j_001760,69736.6,20638.0,Korea,1,58956.9,4.37,night,0.6,US_West
j_000044,69974.5,962.2,US_West,2,7452.5,11.44,day,0.6,US_West
j_000738,70069.1,43.4,US_East,4,18.9,14.46,day,0.6,US_East
j_002116,70550.7,25.1,India,4,23.1,1.1,night,0.6,France
j_000398,70746.6,90.4,US_Central,4,28.2,13.65,day,0.6,US_Central
j_000370,70771.5,146.3,US_Central,3,400.7,13.66,day,0.6,US_East
j_001792,70812.5,17398.4,Korea,1,56277.6,4.67,night,0.6,Korea
j_000373,70897.8,24.3,US_Central,4,16.4,13.69,day,0.6,US_East
j_000029,71114.1,3.5,US_West,5,1.0,11.75,day,0.6,US_West
j_002107,71197.1,3405.0,India,1,48984.3,1.28,night,0.6,France
j_002468,71455.2,3075.9,Japan,1,68457.7,4.85,night,0.6,Japan
j_001759,71519.9,6953.9,Korea,1,73413.7,4.87,night,0.6,Korea
j_001767,71563.1,1499.4,Korea,2,22645.6,4.88,night,0.6,US_West
j_000733,71576.3,19437.1,US_East,1,48511.4,14.88,day,0.6,US_East
j_000358,71606.7,11.7,US_Central,4,31.2,13.89,day,0.6,US_East
j_000006,71675.7,2596.1,US_West,1,59818.3,11.91,day,0.6,US_West
j_001794,71992.5,896.0,Korea,1,77934.0,5.0,night,0.6,US_West
j_000718,72637.6,52.0,US_East,4,18.7,15.18,day,0.6,US_East
j_000710,72830.5,1521.5,US_East,2,11950.5,15.23,day,0.6,US_East
j_001412,72939.0,1332.8,Germany,2,10332.9,21.26,night,0.6,Germany
j_002122,73142.4,100.3,India,4,35.5,1.82,night,0.6,France
j_000351,73871.1,2.3,US_Central,5,3.0,14.52,day,0.6,US_East
j_001755,73916.6,5860.5,Korea,1,54851.1,5.53,night,0.6,Korea
j_002136,74077.9,6.5,India,5,2.0,2.08,night,0.6,France
j_000727,74107.0,10.2,US_East,5,1.1,15.59,day,0.6,US_East
j_000385,74174.0,8873.5,US_Central,1,77856.7,14.6,day,0.6,US_West
j_001446,74502.4,26.3,Germany,4,37.2,21.7,night,0.6,Germany
j_002119,74554.4,2353.8,India,2,10170.0,2.21,night,0.6,France
j_001065,74782.9,21.5,France,5,1.9,21.77,night,0.6,France
j_000041,75073.8,3.0,US_West,5,2.5,12.85,day,0.6,US_West
j_001403,75148.9,6.6,Germany,5,3.1,21.87,night,0.6,Germany
j_000034,75159.8,3.4,US_West,5,1.3,12.88,day,0.6,US_West
j_001770,75720.4,97.7,Korea,4,57.8,6.03,night,0.6,US_West
j_001072,75940.7,274.3,France,3,281.8,22.09,night,0.6,France
j_002108,75973.4,259.9,India,3,357.1,2.6,night,0.6,France
j_001084,76005.1,2.9,France,5,1.3,22.11,night,0.6,France
j_000741,76205.5,1812.9,US_East,1,74821.7,16.17,day,0.6,US_West
j_001786,76291.1,12069.3,Korea,1,44123.2,6.19,night,0.6,US_West
j_002145,76480.4,16693.4,India,1,53155.5,2.74,night,0.6,Germany
j_001442,76486.6,4979.5,Germany,1,80721.2,22.25,night,0.6,Germany
j_001404,76589.2,21600.0,Germany,1,54654.0,22.27,night,0.6,Germany
